student_id,name,background,skills,interests
45,Henry45,Mechanical Eng.,"Cybersecurity, Verilog, NLP","Robotics, Embedded Systems, Software Development"
46,Quinn46,Mechanical Eng.,"C++, Excel, ML, R, VHDL","Cybersecurity, Automation, IoT"
47,Oscar47,Electronics,"Cloud, Statistics, Excel, Python",Deep Learning
48,Diana48,Mathematics,"Cloud, Excel, DL, Verilog, R",Robotics
49,Nina49,Computer Applications,"IoT, Java, Power BI, Cybersecurity, ML","Embedded Systems, IoT"
50,Charlie50,Business Analytics,"MATLAB, Statistics, DL, VHDL","Machine Learning, AI, Cybersecurity"
51,Mona51,Digital Electronics,"Excel, Java, C++","Cybersecurity, Embedded Systems"
52,Grace52,Mechanical Eng.,"Cybersecurity, NLP, CSS","Analytics, Embedded Systems, AI"
53,Karen53,Computer Science,"MATLAB, Excel",Cybersecurity
54,Henry54,Physics,"Arduino, Cybersecurity, SQL, HTML","Machine Learning, Cloud Computing, Software Development"
55,Bob55,Electrical Eng.,"Statistics, C++","Analytics, IoT"
56,Oscar56,Electronics,"Python, R, Verilog, Power BI, SQL","Machine Learning, Robotics, Data Science"
57,Karen57,Mathematics,"TensorFlow, ML, JavaScript, R, CSS","Cloud Computing, Embedded Systems"
58,Paul58,Mechanical Eng.,"Java, Cybersecurity, Arduino",Software Development
59,Bob59,Mathematics,"Cybersecurity, NLP, VHDL, Python, TensorFlow","Embedded Systems, AI"
60,Mona60,Mechanical Eng.,"JavaScript, VHDL, Statistics, ML",Machine Learning
61,Karen61,Computer Science,"NLP, IoT",Cybersecurity
62,Eva62,Business Analytics,"IoT, DL, Arduino, CSS",Automation
63,Leo63,Business Analytics,"NLP, Java, Statistics, JavaScript, Arduino",IoT
64,Tina64,Computer Applications,"Arduino, DL","Cybersecurity, IoT, Machine Learning"
65,Nina65,Computer Science,"Python, R, Power BI, DL",IoT
66,Charlie66,Mathematics,"Python, IoT, DL, Java, JavaScript","Deep Learning, VLSI, AI"
67,Ivy67,Electronics,"CSS, C++, Cybersecurity, TensorFlow","Machine Learning, Software Development"
68,Paul68,Business Analytics,"CSS, R, Cybersecurity, Arduino, TensorFlow","Robotics, Automation, Analytics"
69,Ivy69,IT,"Python, Power BI","VLSI, AI, Analytics"
70,Sam70,Business Analytics,"Python, Excel, Verilog, Arduino, Cybersecurity","Analytics, Data Science, Cybersecurity"
71,Frank71,Electronics,"MATLAB, C++","Cloud Computing, Machine Learning, Deep Learning"
72,Oscar72,Mathematics,"Statistics, Arduino, Cloud, VHDL","Software Development, Robotics"
73,Eva73,Computer Applications,"Cloud, NLP, VHDL, ML, C++",Data Science
74,Henry74,Mathematics,"TensorFlow, Cybersecurity","Automation, Robotics"
75,Mona75,Physics,"Python, TensorFlow, SQL, Excel",Deep Learning
76,Jack76,Mathematics,"Cybersecurity, DL, CSS, Excel, HTML",Cloud Computing
77,Quinn77,Electronics,"Python, C++, Arduino, DL, MATLAB","Cybersecurity, Robotics"
78,Paul78,Digital Electronics,"HTML, Cloud","Machine Learning, AI"
79,Tina79,Business Analytics,"C++, HTML","Deep Learning, IoT"
80,Henry80,Computer Applications,"DL, SQL",Cybersecurity
81,Frank81,Mechanical Eng.,"SQL, Arduino, CSS, Cloud","Automation, Cloud Computing, VLSI"
82,Nina82,Electrical Eng.,"HTML, VHDL, Statistics","Cloud Computing, Analytics, Machine Learning"
83,Quinn83,Physics,"DL, ML, R, VHDL",Cloud Computing
84,Grace84,Mathematics,"HTML, VHDL, R","Cybersecurity, Cloud Computing, Data Science"
85,Eva85,Mathematics,"CSS, C++",VLSI
86,Ivy86,Mathematics,"IoT, Verilog, Cybersecurity, Power BI, MATLAB","Data Science, Automation"
87,Mona87,Computer Science,"DL, HTML, Cloud, ML, SQL",IoT
88,Tina88,Electronics,"Excel, VHDL, C++","Automation, AI, VLSI"
89,Sam89,Computer Science,"C++, TensorFlow, Power BI","Analytics, IoT"
90,Grace90,Computer Science,"Cybersecurity, NLP, TensorFlow",Cybersecurity
91,Leo91,Business Analytics,"Arduino, NLP, Cybersecurity","AI, VLSI"
92,Oscar92,Computer Science,"Cloud, Cybersecurity","Analytics, Cybersecurity, Cloud Computing"
93,Mona93,Computer Science,"VHDL, NLP",Cloud Computing
94,Mona94,IT,"TensorFlow, HTML, Java, Cybersecurity, DL","Robotics, IoT, Software Development"
95,Quinn95,Mechanical Eng.,"Java, Arduino, DL, Cybersecurity, Power BI","Analytics, Robotics, Deep Learning"
96,Tina96,Computer Applications,"TensorFlow, IoT","Machine Learning, Cloud Computing, Automation"
97,Rita97,Electrical Eng.,"Cybersecurity, SQL, Arduino, MATLAB","IoT, Embedded Systems"
98,Mona98,Mathematics,"CSS, Java, Statistics, Excel","Data Science, Cloud Computing"
99,Quinn99,Computer Applications,"IoT, Excel, R, Statistics, HTML",Cybersecurity
100,Nina100,Business Analytics,"Verilog, TensorFlow, VHDL, SQL, C++","Robotics, Analytics, Automation"
101,Diana101,Computer Science,"TensorFlow, Cloud, SQL, MATLAB, ML","Embedded Systems, Data Science, Cloud Computing"
102,Rita102,Electronics,"Excel, NLP, VHDL","Machine Learning, Software Development"
103,Sam103,IT,"Java, ML","Analytics, Data Science, Automation"
104,Nina104,Computer Science,"NLP, R, CSS, VHDL, Verilog","Machine Learning, Cloud Computing, Automation"
105,Oscar105,Digital Electronics,"R, IoT, SQL, Verilog, Cloud","Machine Learning, Data Science, Deep Learning"
106,Leo106,Business Analytics,"NLP, Excel",Cybersecurity
107,Quinn107,Business Analytics,"MATLAB, ML, Cybersecurity, Arduino",Data Science
108,Jack108,Physics,"JavaScript, Cloud, IoT, Statistics","VLSI, Cloud Computing, Automation"
109,Charlie109,Electrical Eng.,"Arduino, JavaScript, HTML","Analytics, VLSI, AI"
110,Bob110,Computer Science,"Excel, Verilog, VHDL","Embedded Systems, Cybersecurity"
111,Sam111,Computer Applications,"Cloud, R",VLSI
112,Karen112,IT,"C++, ML, Python, Cybersecurity","Analytics, IoT, Machine Learning"
113,Alice113,Digital Electronics,"Cloud, TensorFlow, VHDL, ML, MATLAB",Software Development
114,Grace114,Mechanical Eng.,"CSS, Excel, R, Python",AI
115,Mona115,Business Analytics,"Cloud, Verilog, IoT, JavaScript","Analytics, Automation"
116,Ivy116,Computer Science,"ML, Verilog","Cybersecurity, Cloud Computing, Analytics"
117,Ivy117,Computer Science,"VHDL, HTML, C++, Cybersecurity","Deep Learning, Robotics"
118,Grace118,IT,"CSS, R, Statistics",Embedded Systems
119,Nina119,Computer Applications,"ML, DL, Power BI, VHDL",AI
120,Grace120,Physics,"Power BI, NLP, Arduino, R, IoT",Cybersecurity
121,Nina121,Electrical Eng.,"ML, JavaScript","IoT, Cloud Computing, Automation"
122,Oscar122,Mathematics,"Verilog, TensorFlow, VHDL","Embedded Systems, Data Science, Cybersecurity"
123,Mona123,Business Analytics,"R, MATLAB, SQL","Cloud Computing, Data Science, AI"
124,Frank124,Computer Applications,"VHDL, Python, HTML, C++","Robotics, Cybersecurity, AI"
125,Charlie125,Digital Electronics,"CSS, Arduino, NLP","VLSI, Robotics, Automation"
126,Charlie126,Computer Applications,"HTML, Arduino","IoT, Cybersecurity"
127,Nina127,Mechanical Eng.,"TensorFlow, C++, ML, Java","Machine Learning, IoT"
128,Quinn128,Electronics,"HTML, Java, IoT, Cybersecurity","Machine Learning, Automation"
129,Mona129,Mathematics,"C++, CSS",Software Development
130,Charlie130,Computer Science,"Arduino, Cloud, NLP, Cybersecurity, MATLAB","VLSI, Embedded Systems"
131,Karen131,Business Analytics,"ML, MATLAB, JavaScript","Software Development, Deep Learning"
132,Nina132,Computer Applications,"R, Statistics, C++, NLP, Cybersecurity","VLSI, Cybersecurity"
133,Frank133,Computer Science,"Arduino, CSS",Machine Learning
134,Paul134,IT,"R, MATLAB, C++",Deep Learning
135,Tina135,Mathematics,"JavaScript, R, C++, MATLAB",Cloud Computing
136,Oscar136,Mechanical Eng.,"TensorFlow, Arduino, NLP, CSS, SQL","IoT, Analytics"
137,Henry137,Computer Science,"MATLAB, VHDL, TensorFlow, Excel, Java",Robotics
138,Charlie138,Mechanical Eng.,"TensorFlow, Cybersecurity, JavaScript, R, VHDL","Embedded Systems, Data Science, AI"
139,Quinn139,Electrical Eng.,"Cybersecurity, Java","Software Development, Robotics, Automation"
140,Nina140,Mechanical Eng.,"JavaScript, Power BI, DL, MATLAB",Cloud Computing
141,Tina141,Business Analytics,"Java, SQL, Power BI, MATLAB, C++","AI, Embedded Systems"
142,Leo142,Computer Science,"NLP, CSS, Java, Python, HTML","Deep Learning, AI, Automation"
143,Jack143,Computer Science,"Java, TensorFlow, Power BI, VHDL, Excel","Cybersecurity, Software Development"
144,Quinn144,IT,"SQL, HTML, ML, MATLAB","IoT, Cloud Computing"
145,Tina145,Computer Science,"NLP, Arduino","Robotics, Data Science, Analytics"
146,Quinn146,IT,"HTML, R, NLP, Statistics, MATLAB","Cybersecurity, Cloud Computing"
147,Diana147,Mechanical Eng.,"Verilog, Python, Java, R","Data Science, IoT"
148,Sam148,Business Analytics,"Java, SQL, Excel","Cloud Computing, AI"
149,Jack149,Electrical Eng.,"TensorFlow, JavaScript, R, Java, VHDL","Robotics, VLSI, Cybersecurity"
150,Rita150,IT,"TensorFlow, Python, Statistics",Machine Learning
151,Quinn151,Mechanical Eng.,"Python, DL, Excel, Cloud, Verilog","Deep Learning, AI, Analytics"
152,Alice152,IT,"DL, HTML, NLP","Cloud Computing, Software Development, VLSI"
153,Karen153,IT,"IoT, MATLAB, Arduino, Cloud","Cybersecurity, IoT, Machine Learning"
154,Oscar154,Business Analytics,"R, Arduino","Machine Learning, VLSI"
155,Rita155,Business Analytics,"TensorFlow, Arduino, CSS, Power BI",VLSI
156,Rita156,IT,"R, IoT, Cloud, Python, Verilog","Automation, VLSI, Robotics"
157,Leo157,Mathematics,"R, Power BI, HTML, NLP, Arduino","Analytics, Machine Learning, Robotics"
158,Paul158,Electronics,"NLP, Cloud",Cybersecurity
159,Grace159,IT,"Statistics, Python, SQL","Analytics, Robotics"
160,Ivy160,Physics,"R, ML, Python, TensorFlow","VLSI, Analytics"
161,Mona161,Electronics,"C++, Arduino, Python",Cloud Computing
162,Quinn162,Digital Electronics,"Excel, C++, MATLAB, Power BI",Machine Learning
163,Charlie163,IT,"DL, JavaScript, Arduino, TensorFlow","Embedded Systems, Cloud Computing"
164,Sam164,Mathematics,"MATLAB, Excel",IoT
165,Ivy165,IT,"VHDL, Cybersecurity, Excel","Cybersecurity, Software Development, Data Science"
166,Paul166,Computer Science,"SQL, R, NLP","Embedded Systems, Cybersecurity"
167,Quinn167,Computer Science,"C++, TensorFlow, Cloud, CSS, Excel",Software Development
168,Karen168,Business Analytics,"CSS, R","Embedded Systems, Cloud Computing"
169,Leo169,Mechanical Eng.,"Cybersecurity, Power BI","AI, Analytics"
170,Quinn170,Digital Electronics,"R, CSS, Statistics, IoT","Automation, Cloud Computing, AI"
171,Quinn171,Business Analytics,"NLP, Excel, TensorFlow, SQL","Machine Learning, Automation, Embedded Systems"
172,Leo172,Electrical Eng.,"Statistics, IoT, JavaScript","AI, Software Development"
173,Sam173,IT,"JavaScript, VHDL, C++, R, Python","Analytics, IoT, Data Science"
174,Nina174,Mathematics,"DL, Verilog, Java, TensorFlow, Python","Machine Learning, Deep Learning"
175,Leo175,Electrical Eng.,"VHDL, DL, NLP, MATLAB","VLSI, Data Science"
176,Mona176,Mechanical Eng.,"Cloud, R, HTML",AI
177,Oscar177,Mechanical Eng.,"Power BI, Cloud, Arduino, TensorFlow","Data Science, Embedded Systems"
178,Bob178,Digital Electronics,"C++, Statistics, Java","Deep Learning, Data Science"
179,Grace179,IT,"MATLAB, Verilog, TensorFlow, IoT, C++",Deep Learning
180,Diana180,Mechanical Eng.,"SQL, Arduino, TensorFlow","Data Science, Robotics"
181,Ivy181,Computer Science,"Cybersecurity, SQL, Python, Java","Analytics, Machine Learning"
182,Henry182,Mathematics,"Power BI, C++, Python, CSS, HTML","Robotics, Cloud Computing"
183,Ivy183,Electrical Eng.,"DL, VHDL","Embedded Systems, Cybersecurity, Deep Learning"
184,Paul184,IT,"Power BI, C++, DL","Machine Learning, Data Science"
185,Jack185,Business Analytics,"HTML, Statistics","Analytics, Deep Learning"
186,Grace186,Electrical Eng.,"Python, Statistics, HTML","Automation, VLSI"
187,Mona187,Digital Electronics,"HTML, ML, Java, Python",Robotics
188,Eva188,Mechanical Eng.,"Java, C++, Verilog, ML, Power BI","Embedded Systems, IoT"
189,Henry189,Physics,"JavaScript, VHDL, MATLAB","Machine Learning, Robotics"
190,Ivy190,IT,"Arduino, MATLAB","AI, IoT"
191,Diana191,Physics,"Java, Cloud, Power BI, JavaScript, Python",Embedded Systems
192,Charlie192,IT,"VHDL, ML, C++, IoT",Machine Learning
193,Frank193,Electronics,"CSS, ML, Python","Data Science, Automation, Software Development"
194,Leo194,Business Analytics,"CSS, IoT, R, ML, Java","Analytics, Deep Learning, Robotics"
195,Tina195,Computer Science,"Java, TensorFlow, Cloud, MATLAB",Machine Learning
196,Jack196,Digital Electronics,"R, TensorFlow, DL, Cybersecurity, NLP",Cybersecurity
197,Diana197,Physics,"Excel, Java, Python, NLP, C++",Automation
198,Charlie198,Mechanical Eng.,"JavaScript, C++, VHDL, IoT, MATLAB",Cybersecurity
199,Leo199,Physics,"Verilog, Python, VHDL, HTML","VLSI, Robotics"
200,Charlie200,Computer Applications,"Arduino, Cybersecurity, Excel, R, HTML",Deep Learning
201,Nina201,Electrical Eng.,"SQL, Power BI","Data Science, VLSI, Robotics"
202,Grace202,Electrical Eng.,"MATLAB, Python, Verilog, R",Software Development
203,Henry203,Computer Applications,"Power BI, C++, Excel, HTML","Analytics, IoT, Software Development"
204,Quinn204,Electrical Eng.,"Cloud, C++, TensorFlow",Automation
205,Diana205,Electrical Eng.,"Excel, VHDL, Java, HTML, Verilog","Analytics, Deep Learning"
206,Paul206,Mechanical Eng.,"NLP, Verilog, Statistics, Arduino","Automation, VLSI, Deep Learning"
207,Nina207,Business Analytics,"Arduino, VHDL, Cloud, Verilog, IoT","Data Science, IoT"
208,Quinn208,IT,"IoT, ML, Statistics",Analytics
209,Sam209,Mathematics,"TensorFlow, DL","Automation, Data Science, Embedded Systems"
210,Nina210,Business Analytics,"JavaScript, SQL, Cloud","Machine Learning, Embedded Systems"
211,Rita211,Physics,"VHDL, NLP, Power BI","Software Development, Machine Learning, Cloud Computing"
212,Oscar212,Computer Applications,"Cloud, CSS, Java",Robotics
213,Mona213,Electronics,"C++, R, HTML, DL","Cloud Computing, Automation"
214,Diana214,Physics,"Verilog, CSS, Power BI","Data Science, Cybersecurity"
215,Oscar215,Computer Applications,"Power BI, ML, IoT",Automation
216,Nina216,Physics,"Excel, Verilog","Machine Learning, IoT, Deep Learning"
217,Charlie217,Computer Applications,"Cloud, Power BI, HTML","IoT, Software Development"
218,Leo218,Physics,"Java, R, DL, TensorFlow, Excel","Machine Learning, Software Development, AI"
219,Leo219,Mechanical Eng.,"Verilog, Cloud, VHDL, Power BI, CSS","Robotics, AI"
220,Frank220,Mathematics,"Python, Verilog, Power BI",Cloud Computing
221,Tina221,Electrical Eng.,"Power BI, Cybersecurity","Machine Learning, Robotics, Cybersecurity"
222,Ivy222,Mathematics,"NLP, VHDL, DL","Software Development, Data Science"
223,Jack223,Electrical Eng.,"TensorFlow, CSS, IoT",Cybersecurity
224,Leo224,Business Analytics,"CSS, HTML, IoT",Software Development
225,Charlie225,Mechanical Eng.,"Power BI, Cybersecurity, MATLAB, HTML","Software Development, AI"
226,Charlie226,IT,"Cybersecurity, Cloud","Analytics, Cloud Computing"
227,Mona227,Mathematics,"DL, MATLAB, NLP","Cloud Computing, Automation"
228,Ivy228,Mechanical Eng.,"Verilog, C++, VHDL, IoT, JavaScript","Machine Learning, Automation, Cloud Computing"
229,Eva229,Physics,"TensorFlow, Python, Statistics",Software Development
230,Paul230,Mechanical Eng.,"Cybersecurity, CSS, VHDL","AI, Cybersecurity, Software Development"
231,Alice231,Mathematics,"Arduino, SQL, CSS, Cloud, Excel","Cloud Computing, VLSI, Machine Learning"
232,Eva232,Mathematics,"JavaScript, CSS, ML, NLP",Automation
233,Mona233,Electrical Eng.,"Excel, MATLAB","Embedded Systems, Automation, Software Development"
234,Tina234,IT,"MATLAB, HTML, Cloud, R, SQL","AI, Data Science"
235,Diana235,Mathematics,"C++, ML, DL, Cloud","IoT, Machine Learning"
236,Tina236,Physics,"HTML, SQL, Cybersecurity, JavaScript","AI, Embedded Systems, Analytics"
237,Nina237,IT,"Python, SQL, Arduino, VHDL","Analytics, Machine Learning, Cloud Computing"
238,Frank238,IT,"MATLAB, JavaScript, TensorFlow",VLSI
239,Paul239,Electronics,"TensorFlow, C++","Deep Learning, Cloud Computing, AI"
240,Paul240,Digital Electronics,"C++, SQL, MATLAB","Deep Learning, Robotics"
241,Mona241,Electronics,"Statistics, CSS, Arduino","Robotics, Cloud Computing, IoT"
242,Alice242,Electronics,"TensorFlow, Verilog, Statistics","Data Science, AI, Machine Learning"
243,Sam243,Mathematics,"Python, Power BI, IoT","Cloud Computing, AI, Analytics"
244,Tina244,Mathematics,"DL, Java",VLSI
245,Mona245,Mathematics,"JavaScript, HTML, TensorFlow, NLP, CSS","Analytics, Cybersecurity"
246,Bob246,Business Analytics,"Python, Excel, CSS, TensorFlow, R",Automation
247,Eva247,Business Analytics,"Arduino, TensorFlow, Cybersecurity","Software Development, Cybersecurity, Cloud Computing"
248,Charlie248,Digital Electronics,"NLP, Arduino, SQL, TensorFlow, IoT","Cybersecurity, Software Development"
249,Ivy249,Mathematics,"Python, Excel, Java, Verilog, Arduino","AI, IoT, Software Development"
250,Grace250,Digital Electronics,"ML, Excel, C++, Cloud, Verilog","VLSI, Cloud Computing"
251,Mona251,Digital Electronics,"TensorFlow, Power BI","Deep Learning, Data Science"
252,Nina252,Mathematics,"SQL, ML, CSS, Arduino, Excel",VLSI
253,Sam253,IT,"R, IoT, Power BI, ML","Cybersecurity, Robotics, VLSI"
254,Alice254,Physics,"Excel, R, SQL, TensorFlow, Cloud","Embedded Systems, Machine Learning"
255,Frank255,Mathematics,"IoT, TensorFlow, JavaScript, Python, Arduino","AI, Cybersecurity"
256,Quinn256,Physics,"Statistics, VHDL, R, TensorFlow, DL","VLSI, Analytics"
257,Grace257,Mechanical Eng.,"Cloud, VHDL, SQL, TensorFlow","VLSI, Software Development"
258,Mona258,Mechanical Eng.,"Statistics, VHDL, Excel",Cloud Computing
259,Jack259,Mathematics,"CSS, Cloud, ML, Power BI, HTML","Embedded Systems, Deep Learning, Machine Learning"
260,Leo260,Computer Applications,"JavaScript, Java, Excel, ML, MATLAB","Embedded Systems, Software Development"
261,Karen261,Physics,"Excel, TensorFlow, JavaScript","Robotics, Automation"
262,Nina262,Mechanical Eng.,"Python, DL, R, Cybersecurity, ML","Robotics, Embedded Systems"
263,Ivy263,Computer Science,"Power BI, R, CSS, TensorFlow, JavaScript","Cybersecurity, Deep Learning"
264,Diana264,IT,"Power BI, DL, Verilog, SQL, VHDL",Deep Learning
265,Karen265,Digital Electronics,"JavaScript, MATLAB, Verilog","Cybersecurity, IoT, Software Development"
266,Ivy266,Computer Science,"IoT, JavaScript","Automation, VLSI"
267,Alice267,Electronics,"TensorFlow, R, Java","Cloud Computing, Automation"
268,Tina268,Electronics,"SQL, DL","Cybersecurity, Software Development, IoT"
269,Quinn269,Electrical Eng.,"Python, Arduino, Statistics","Analytics, Software Development, Data Science"
270,Leo270,Mechanical Eng.,"NLP, R","Deep Learning, Automation, VLSI"
271,Quinn271,Physics,"VHDL, MATLAB, HTML",VLSI
272,Oscar272,Business Analytics,"Arduino, SQL","VLSI, Deep Learning, Embedded Systems"
273,Paul273,Digital Electronics,"Java, Python, JavaScript","Software Development, Cybersecurity"
274,Rita274,Computer Science,"TensorFlow, Java, Verilog, JavaScript, MATLAB",VLSI
275,Rita275,Computer Science,"Arduino, DL","Data Science, Robotics, Cybersecurity"
276,Jack276,Computer Science,"VHDL, SQL, R, Statistics, Cybersecurity","AI, Analytics"
277,Oscar277,Mathematics,"Arduino, IoT","Cybersecurity, Embedded Systems, Software Development"
278,Leo278,Mechanical Eng.,"MATLAB, NLP, CSS, Arduino, TensorFlow","AI, Data Science"
279,Henry279,Mathematics,"Cybersecurity, Power BI, IoT, Statistics",Embedded Systems
280,Jack280,IT,"Cybersecurity, JavaScript, Power BI, Java",Cybersecurity
281,Jack281,Electrical Eng.,"VHDL, Python, Cloud","Deep Learning, Data Science"
282,Nina282,Electrical Eng.,"C++, SQL","Data Science, Analytics"
283,Rita283,Mechanical Eng.,"Cloud, Python, Power BI, VHDL","IoT, Robotics, Cybersecurity"
284,Nina284,Electrical Eng.,"NLP, Arduino, Power BI","Automation, Robotics, Analytics"
285,Bob285,Mathematics,"TensorFlow, Java, JavaScript, MATLAB, VHDL",Embedded Systems
286,Oscar286,Computer Applications,"JavaScript, Excel, Cloud, Arduino, TensorFlow","Data Science, VLSI, Deep Learning"
287,Grace287,Mechanical Eng.,"Arduino, R, Cybersecurity, JavaScript, IoT","Cloud Computing, Automation, Embedded Systems"
288,Karen288,Digital Electronics,"NLP, HTML","Deep Learning, AI"
289,Henry289,Electronics,"SQL, DL, Verilog, VHDL, HTML",AI
290,Diana290,Mechanical Eng.,"Verilog, Python, ML, TensorFlow",Software Development
291,Karen291,IT,"NLP, ML",AI
292,Jack292,Business Analytics,"Cybersecurity, Python, Power BI, ML, TensorFlow",AI
293,Charlie293,Computer Science,"Cybersecurity, SQL","Embedded Systems, Robotics"
294,Diana294,Business Analytics,"NLP, JavaScript, IoT, SQL, VHDL","Cybersecurity, Analytics, IoT"
295,Frank295,Physics,"CSS, TensorFlow, HTML, SQL","Cybersecurity, Automation, Analytics"
296,Rita296,Computer Applications,"VHDL, Power BI","Software Development, Robotics, Automation"
297,Oscar297,Mathematics,"TensorFlow, SQL, Cybersecurity, Python, C++","Cloud Computing, Deep Learning, Analytics"
298,Frank298,Electronics,"Power BI, CSS, HTML","Cloud Computing, Embedded Systems, VLSI"
299,Diana299,Digital Electronics,"C++, Python, NLP, DL","AI, Cloud Computing, Machine Learning"
300,Rita300,Computer Applications,"C++, CSS",IoT
301,Leo301,Computer Science,"IoT, Excel, VHDL, Power BI",IoT
302,Eva302,Physics,"Verilog, Python, C++","Embedded Systems, IoT, Automation"
303,Oscar303,Business Analytics,"Java, Verilog",Analytics
304,Paul304,Mathematics,"R, SQL, MATLAB","IoT, Cybersecurity, VLSI"
305,Mona305,IT,"R, VHDL, TensorFlow",Cloud Computing
306,Karen306,IT,"Python, NLP, CSS, JavaScript, Power BI",VLSI
307,Leo307,Computer Applications,"Excel, TensorFlow",Cybersecurity
308,Sam308,Computer Applications,"Cybersecurity, Excel, R, Arduino, TensorFlow",Deep Learning
309,Mona309,Electronics,"R, VHDL, HTML","Cloud Computing, Cybersecurity"
310,Quinn310,Mathematics,"JavaScript, Java","Deep Learning, Software Development, Robotics"
311,Alice311,Mechanical Eng.,"SQL, MATLAB, Cloud, C++",Automation
312,Oscar312,Physics,"JavaScript, ML, Java, SQL","Automation, Robotics"
313,Leo313,Electrical Eng.,"C++, CSS, TensorFlow, NLP, Arduino","Cloud Computing, VLSI"
314,Jack314,Mechanical Eng.,"Cloud, Verilog, IoT, Statistics, CSS",Cloud Computing
315,Sam315,Electronics,"Java, Cloud","Data Science, Machine Learning, Cloud Computing"
316,Eva316,IT,"Excel, TensorFlow",Deep Learning
317,Oscar317,Electronics,"Power BI, R, Cybersecurity","Software Development, Analytics, VLSI"
318,Leo318,Electrical Eng.,"TensorFlow, IoT, Power BI","Software Development, Cloud Computing"
319,Alice319,Electronics,"Statistics, Java, JavaScript, R",VLSI
320,Tina320,Computer Applications,"TensorFlow, Statistics, JavaScript",Cloud Computing
321,Oscar321,Electronics,"R, Statistics","AI, Deep Learning, Analytics"
